r_def,cve_ent,con,upm,n_pro_viv,v_sel,n_hog,h_mud,n_ren,c_res,sex,eda,n_hij,e_con,ur,zona,pos_ocu,seg_soc,rama_est1,ambito2,tue1,pre_asa,niv_ins,anios_esc,hrsocup,ingocup,imssissste,emp_ppal,p6c,p6d
0,15,40344,1533691,5,51,1,0,1,1,1,35, ,1,1,2,3,2,3,3,3,0,3,9,68,25800,4,1, ,6
0,15,40383,1537209,70,3,1,0,4,1,1,36, ,6,1,2,1,1,3,5,1,1,4,12,88,14000,1,2, ,1
0,15,40385,1537781,74,4,1,0,1,1,2,38,2,2,1,2,3,2,3,2,3,0,3,9,36,7740,4,1, ,6
0,15,40386,1522240,118,5,1,0,1,1,1,82, ,1,1,2,2,2,3,2,3,0,1,0,36,10320,4,1, ,6
0,14,40001,1414583,85,4,1,0,1,1,2,48,2,2,1,2,1,2,3,4,3,1,3,9,14,2150,4,1, ,6
0,14,40003,1416002,127,3,1,0,2,1,1,40, ,6,1,2,3,2,3,2,3,0,2,6,0,5160,4,1, ,6
0,14,40004,1416262,81,3,1,0,3,1,2,23,0,6,1,2,1,1,3,4,2,2,4,16,29,6000,1,2, ,1
0,14,40005,1416412,18,3,1,0,3,1,2,23,2,1,1,2,1,2,3,8,3,2,3,9,25,7525,4,1, ,6
0,14,40008,1417577,148,2,1,0,2,1,2,52,1,6,1,2,1,1,3,5,1,1,3,9,48,12900,1,2, ,1
0,14,40009,1417689,25,2,1,0,2,1,2,48,2,5,1,2,1,1,2,6,1,1,3,9,32,9890,1,2, ,1
0,14,40018,1411688,68,3,1,0,2,1,2,49,1,5,1,2,1,2,3,4,2,1,4,12,30,3870,4,1, ,6
0,14,40027,1402540,81,2,1,0,5,3,1,43, ,5,1,2,1,1,3,4,1,1,4,12,48,10750,1,2, ,1
0,14,40030,1403057,64,2,1,0,1,1,2,37,1,6,1,2,1,2,3,8,3,1,4,12,40,6450,4,1, ,6
0,14,40066,1403485,133,5,1,0,1,1,1,34, ,1,1,2,1,1,2,6,1,1,4,16,48,6450,1,2, ,1
0,14,40082,1416804,64,2,1,0,1,1,1,47, ,3,1,2,3,2,3,3,1,0,4,18,70,50000,4,2, ,6
